x,y,speed
0.39992686579855113,5.516031077745563,6.494748259699773
0.37658909300874116,5.419200369857204,6.550367651773891
0.35140273142746653,5.322829296316132,6.6048266573406025
0.32440023829518727,5.2269564594169795,6.658175988236457
0.29560748120970537,5.131599852945712,6.71038493167
0.2650559653857176,5.036798144412831,6.761497415377277
0.2327693884564324,4.942566976230751,6.811505464613408
0.19877814727118773,4.848942737825384,6.8604459057749025
0.16310564744166123,4.755941066054919,6.908386024644076
0.12578246717216732,4.6635934651479705,6.955360271361035
0.08683912703241164,4.571914187348297,7.0019983053888355
0.046313274118526856,4.480925667288665,7.0483684622074945
0.0042458944215563385,4.390637943073825,7.095258656596831
-0.03931888164178215,4.301064166506741,7.077459623753597
-0.08434366022314678,4.212214683304261,7.02155033526486
-0.13079295573397878,4.124101865795718,6.961440638779902
-0.17863696595132147,4.036738390761511,6.8975216438088305
-0.22784585816555689,3.9501363246535863,6.82973810753316
-0.278381565516841,3.864301818066592,6.756944871528514
-0.3302061581749186,3.7792391041080347,6.678846872380118
-0.38329197957012956,3.6949579591615396,6.5963884040648555
-0.4376165869482034,3.6114700603293897,6.509443293156972
-0.49316561805145803,3.5287912599024813,6.418666502612043
-0.5499144039495124,3.4469259561879655,6.32413867844189
-0.6077579593920514,3.3658402772630134,6.21741758321459
-0.666640322036193,3.285526766394314,6.1217579027423294
-0.7268632891262367,3.2061692728884337,6.050841058876644
-0.7886201892662084,3.1280133853597683,5.980978392143964
-0.851500187713778,3.050759700631527,5.865506237095589
-0.9148410727620773,2.973817021606923,5.714580626380755
-0.9773247021307389,2.896313223852923,5.660863600999549
-1.0379062658188791,2.817342363006898,5.609815866659567
-1.0970562787245757,2.737126541030606,5.502602741712693
-1.155350235647582,2.656391735792745,5.3300048105499185
-1.2129050839459783,2.5750535667405554,5.159269722550264
-1.2694578401151642,2.493024496841495,5.00882447264277
-1.3245333560174086,2.4100612710250093,4.878966619103573
-1.377681194361432,2.3258229858320303,4.7552975645008635
-1.4285444118195347,2.2401847172465934,4.636529283970098
-1.4768022276296762,2.1530314375470567,4.52897754419819
-1.5219963363374598,2.0642922679685443,4.433216690267791
-1.5637486215124843,1.9738329077862882,4.33606672795272
-1.6019052249130397,1.881860025415609,4.228007442548853
-1.636436222813294,1.788434315711034,4.107464060672441
-1.6670634403520634,1.6936678463329282,3.9839563097554773
-1.6933808914844084,1.597648322821644,3.8805443709921112
-1.714611999472755,1.500308864705171,3.7996208458941414
-1.7298327885126463,1.4018930114923829,3.7339103301985257
-1.7382908715684409,1.302657997515791,3.6871242811218097
-1.7393789783574185,1.2030703699851646,3.6423051716768176
-1.7331566349972705,1.1036865794643542,3.582394413737741
-1.719705941192732,1.004974313551151,3.523840789509476
-1.6984360962900074,0.9077349609103487,3.4921926864797532
-1.668643101479525,0.8127166358852214,3.472608055050894
-1.6300757137843171,0.720927861806165,3.4712716463517657
-1.5827091823390191,0.6333419140724371,3.469934722948984
-1.5270798434342243,0.5507679168344488,3.476448016733915
-1.463888892530631,0.4738279504055159,3.486864315785135
-1.3940595891541598,0.40282808779322854,3.516337778630294
-1.3185339360448751,0.3379495171381974,3.5600007785585124
-1.2380522688162492,0.279279646384927,3.610087669364992
-1.153366037001207,0.22691836967219475,3.664296460842867
-1.065071846209952,0.18081657149965624,3.722845164664171
-0.9738213724108679,0.14094667004071773,3.784179977720904
-0.8801128483105443,0.10720258734102663,3.847307534575096
-0.7844560022694255,0.0794824465188563,3.9113387592787006
-0.6872871220309678,0.0576452790123202,3.9763784511539386
-0.5889949759173561,0.041535593706135125,4.041841620730116
-0.48996956528323665,0.030987615569599638,4.1078479106390136
-0.39049197888613046,0.025818830792641106,4.174025042116411
-0.2909111246804235,0.02584305355263812,4.240602775341607
-0.19142095708218038,0.030867842775831628,4.307346845440489
-0.09232822395678167,0.040692039633819774,4.37442070202052
